Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 86 - TANGANCICUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1912 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,74,55,6,105,16,0,,,,,14,,,,,,,0,9,293,567
C1,AC,Urna tradicional,22,62,62,5,88,19,8,,,,,1,,,,,,,0,13,280,567
C2,AC,Urna tradicional,11,73,60,8,90,22,0,,,,,0,,,,,,,0,10,274,567
Total,,,47,209,177,19,283,57,8,0,0,0,0,15,0,0,0,0,0,0,0,32,847,1701
Sección 1913 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,18,71,51,4,90,29,3,,,,,0,,,,,,,0,10,276,530
C1,AC,Urna tradicional,32,91,29,4,76,19,8,,,,,3,,,,,,,0,6,268,531
Total,,,50,162,80,8,166,48,11,0,0,0,0,3,0,0,0,0,0,0,0,16,544,1061
Sección 1914 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,115,86,7,91,22,10,,,,,0,,,,,,,0,9,388,720
C1,AC,Urna tradicional,44,85,94,4,100,24,22,,,,,8,,,,,,,0,18,399,720
Total,,,92,200,180,11,191,46,32,0,0,0,0,8,0,0,0,0,0,0,0,27,787,1440
Sección 1915 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,72,72,5,149,33,2,,,,,2,,,,,,,0,15,372,644
C1,AC,Urna tradicional,23,82,86,7,107,33,6,,,,,0,,,,,,,0,14,358,645
Total,,,45,154,158,12,256,66,8,0,0,0,0,2,0,0,0,0,0,0,0,29,730,1289
Sección 1916 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,28,56,52,0,110,33,8,,,,,0,,,,,,,1,22,310,628
C1,AC,Urna tradicional,28,43,55,5,114,30,4,,,,,0,,,,,,,1,19,299,628
Total,,,56,99,107,5,224,63,12,0,0,0,0,0,0,0,0,0,0,0,2,41,609,1256
Sección 1917 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,84,59,5,114,29,5,,,,,1,,,,,,,0,15,343,706
Total,,,31,84,59,5,114,29,5,0,0,0,0,1,0,0,0,0,0,0,0,15,343,706
Sección 1918 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,85,36,8,138,49,1,,,,,2,,,,,,,1,14,358,695
Total,,,24,85,36,8,138,49,1,0,0,0,0,2,0,0,0,0,0,0,1,14,358,695
Sección 1919 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,55,31,7,126,25,0,,,,,2,,,,,,,0,10,277,518
C1,AC,Urna tradicional,24,56,35,4,118,33,4,,,,,0,,,,,,,0,14,288,518
Total,,,45,111,66,11,244,58,4,0,0,0,0,2,0,0,0,0,0,0,0,24,565,1036
Sección 1920 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,38,62,59,5,145,42,3,,,,,3,,,,,,,0,15,372,694
C1,AC,Urna tradicional,26,99,41,2,128,46,12,,,,,2,,,,,,,0,12,368,694
C2,AC,Urna tradicional,21,69,52,11,146,57,12,,,,,3,,,,,,,0,18,389,694
C3,AC,Urna tradicional,35,62,78,4,116,63,11,,,,,4,,,,,,,0,10,383,694
