Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 21 - CHARAPAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 340 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,175,89,151,2,1,2,,,,,0,,5,,,3,,0,12,455,642
C1,AC,Urna tradicional,21,174,123,114,0,2,0,,,,,1,,3,,,2,,0,9,449,642
Total,,,36,349,212,265,2,3,2,0,0,0,0,1,0,8,0,0,5,0,0,21,904,1284
Sección 341 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,9,167,128,146,3,2,0,,,,,0,,1,,,4,,0,12,472,687
C1,AC,Urna tradicional,22,189,143,128,7,7,0,,,,,0,,0,,,0,,0,18,514,688
C2,AC,Urna tradicional,7,137,173,138,1,2,0,,,,,0,,2,,,11,,0,17,488,688
Total,,,38,493,444,412,11,11,0,0,0,0,0,0,0,3,0,0,15,0,0,47,1474,2063
Sección 342 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,59,116,113,0,1,0,,,,,0,,0,,,0,,0,10,315,500
C1,AC,Urna tradicional,21,52,103,85,1,0,0,,,,,2,,0,,,0,,0,20,284,501
C2,AC,Urna tradicional,22,49,131,88,0,0,0,,,,,0,,0,,,0,,0,15,305,501
Total,,,59,160,350,286,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,45,904,1502
Sección 343 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,58,165,113,0,3,1,,,,,0,,0,,,0,,1,18,395,697
C1,AC,Urna tradicional,19,46,175,102,4,1,0,,,,,0,,0,,,2,,1,27,377,698
Total,,,55,104,340,215,4,4,1,0,0,0,0,0,0,0,0,0,2,0,2,45,772,1395
Sección 344 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,130,147,190,0,3,1,,,,,0,,1,,,2,,0,38,533,704
C1,AC,Urna tradicional,19,178,138,155,0,0,0,,,,,2,,3,,,0,,0,44,539,704
Total,,,40,308,285,345,0,3,1,0,0,0,0,2,0,4,0,0,2,0,0,82,1072,1408
Sección 345 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,129,184,84,0,2,1,,,,,1,,1,,,1,,0,37,461,628
C1,AC,Urna tradicional,18,128,148,111,0,3,0,,,,,0,,1,,,2,,1,36,448,629
C2,AC,Urna tradicional,20,122,158,115,0,2,0,,,,,0,,4,,,3,,0,41,465,629
Total,,,59,379,490,310,0,7,1,0,0,0,0,1,0,6,0,0,6,0,1,114,1374,1886
Total municipal,,,287,1793,2121,1833,18,29,5,0,0,0,0,6,0,21,0,0,30,0,3,354,6500,9538
