Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 82 - SUSUPUATO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1832 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,163,,,0,,0,84,,,,1,,7,,,,,0,7,329,532
C1,AC,Urna tradicional,65,182,,,0,,0,89,,,,0,,4,,,,,0,2,342,533
Total,,,132,345,0,0,0,0,0,173,0,0,0,1,0,11,0,0,0,0,0,9,671,1065
Sección 1833 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,157,125,,,0,,0,38,,,,0,,0,,,,,0,9,329,465
C1,AC,Urna tradicional,135,160,,,0,,0,19,,,,0,,0,,,,,0,3,317,465
Total,,,292,285,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,12,646,930
Sección 1834 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,144,182,,,0,,0,182,,,,3,,6,,,,,0,8,525,723
E1,AC,Urna tradicional,98,97,,,1,,0,73,,,,0,,0,,,,,0,8,277,415
Total,,,242,279,0,0,1,0,0,255,0,0,0,3,0,6,0,0,0,0,0,16,802,1138
Sección 1835 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,117,,,0,,0,124,,,,0,,0,,,,,0,8,282,370
Total,,,33,117,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,8,282,370
Sección 1836 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,105,148,,,0,,0,131,,,,0,,1,,,,,0,3,388,517
C1,AC,Urna tradicional,105,135,,,0,,0,154,,,,0,,0,,,,,0,7,401,518
C2,AC,Urna tradicional,114,148,,,0,,0,125,,,,0,,0,,,,,0,3,390,518
Total,,,324,431,0,0,0,0,0,410,0,0,0,0,0,1,0,0,0,0,0,13,1179,1553
Sección 1837 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,64,,,0,,0,35,,,,1,,3,,,,,0,9,141,238
Total,,,29,64,0,0,0,0,0,35,0,0,0,1,0,3,0,0,0,0,0,9,141,238
Sección 1838 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,43,,,0,,0,3,,,,0,,0,,,,,0,3,52,73
Total,,,3,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,52,73
Sección 1839 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,56,70,,,0,,0,127,,,,0,,0,,,,,0,7,260,403
C1,AC,Urna tradicional,55,42,,,0,,0,158,,,,0,,0,,,,,0,4,259,403
Total,,,111,112,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,11,519,806
Sección 1840 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,81,,,1,,0,56,,,,0,,0,,,,,0,4,181,319
Total,,,39,81,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,4,181,319
Sección 1841 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,158,,,0,,0,107,,,,0,,0,,,,,0,10,289,496
Total,,,14,158,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,10,289,496
Sección 1843 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,1,22,,,0,,0,38,,,,0,,0,,,,,0,1,62,95
E1,AC,Urna tradicional,1,67,,,2,,0,53,,,,0,,0,,,,,0,0,123,163
Total,,,2,89,0,0,2,0,0,91,0,0,0,0,0,0,0,0,0,0,0,1,185,258
Total municipal,,,1221,2004,0,0,4,0,0,1596,0,0,0,5,0,21,0,0,0,0,0,96,4947,7246
