Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 61 - NUMARAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1369 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,88,,,54,,9,171,,,,3,,,,,,,0,9,397,611
C1,AC,Urna tradicional,49,81,,,50,,2,184,,,,0,,,,,,,1,5,372,611
C2,AC,Urna tradicional,59,92,,,67,,2,184,,,,1,,,,,,,1,13,419,612
Total,,,171,261,0,0,171,0,13,539,0,0,0,4,0,0,0,0,0,0,2,27,1188,1834
Sección 1370 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,128,,,62,,10,144,,,,1,,,,,,,0,6,404,610
C1,AC,Urna tradicional,39,75,,,107,,1,171,,,,1,,,,,,,0,13,407,610
C2,AC,Urna tradicional,46,77,,,88,,3,170,,,,3,,,,,,,0,9,396,610
C3,AC,Urna tradicional,66,101,,,86,,1,133,,,,0,,,,,,,0,6,393,611
Total,,,204,381,0,0,343,0,15,618,0,0,0,5,0,0,0,0,0,0,0,34,1600,2441
Sección 1371 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,36,,,29,,1,42,,,,0,,,,,,,0,8,126,248
Total,,,10,36,0,0,29,0,1,42,0,0,0,0,0,0,0,0,0,0,0,8,126,248
Sección 1372 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,32,,,73,,2,52,,,,4,,,,,,,0,7,206,361
Total,,,36,32,0,0,73,0,2,52,0,0,0,4,0,0,0,0,0,0,0,7,206,361
Sección 1373 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,102,44,,,35,,2,103,,,,1,,,,,,,0,8,295,593
C1,AC,Urna tradicional,86,50,,,69,,2,86,,,,3,,,,,,,0,4,300,593
C2,AC,Urna tradicional,79,59,,,66,,1,81,,,,3,,,,,,,0,4,293,593
C3,AC,Urna tradicional,73,36,,,57,,1,118,,,,2,,,,,,,0,3,290,593
Total,,,340,189,0,0,227,0,6,388,0,0,0,9,0,0,0,0,0,0,0,19,1178,2372
Sección 1374 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,52,,,91,,2,102,,,,2,,,,,,,0,13,316,541
Total,,,54,52,0,0,91,0,2,102,0,0,0,2,0,0,0,0,0,0,0,13,316,541
Sección 1375 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,161,86,,,39,,4,65,,,,8,,,,,,,0,5,368,661
Total,,,161,86,0,0,39,0,4,65,0,0,0,8,0,0,0,0,0,0,0,5,368,661
Sección 1376 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,19,128,,,172,,2,186,,,,0,,,,,,,0,13,520,644
Total,,,19,128,0,0,172,0,2,186,0,0,0,0,0,0,0,0,0,0,0,13,520,644
Sección 1377 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,138,,,352,,0,62,,,,0,,,,,,,0,7,565,746
Total,,,6,138,0,0,352,0,0,62,0,0,0,0,0,0,0,0,0,0,0,7,565,746
Total municipal,,,1001,1303,0,0,1497,0,45,2054,0,0,0,32,0,0,0,0,0,0,2,133,6067,9848
