Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 39 - HUIRAMBA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 647 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,145,,,0,,8,150,,,,5,,10,,,,,0,12,486,630
C1,AC,Urna tradicional,174,183,,,2,,4,100,,,,2,,0,,,,,0,5,470,630
C2,AC,Urna tradicional,176,142,,,2,,10,128,,,,6,,5,,,,,0,18,487,630
C3,AC,Urna tradicional,160,130,,,3,,3,146,,,,5,,3,,,,,1,13,464,631
Total,,,666,600,0,0,7,0,25,524,0,0,0,18,0,18,0,0,0,0,1,48,1907,2521
Sección 648 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,199,,,0,,3,32,,,,3,,6,,,,,0,7,303,424
C1,AC,Urna tradicional,44,182,,,4,,0,42,,,,0,,6,,,,,1,9,288,425
Total,,,97,381,0,0,4,0,3,74,0,0,0,3,0,12,0,0,0,0,1,16,591,849
Sección 649 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,134,139,,,0,,2,69,,,,3,,4,,,,,0,14,365,654
Total,,,134,139,0,0,0,0,2,69,0,0,0,3,0,4,0,0,0,0,0,14,365,654
Sección 650 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,126,,,2,,7,104,,,,3,,3,,,,,0,8,343,468
C1,AC,Urna tradicional,93,122,,,1,,5,106,,,,3,,5,,,,,0,7,342,469
E1,AC,Urna tradicional,137,174,,,7,,1,88,,,,6,,9,,,,,0,20,442,567
E2,AC,Urna tradicional,76,86,,,2,,2,97,,,,10,,0,,,,,0,13,286,392
Total,,,396,508,0,0,12,0,15,395,0,0,0,22,0,17,0,0,0,0,0,48,1413,1896
Total municipal,,,1293,1628,0,0,23,0,45,1062,0,0,0,46,0,51,0,0,0,0,2,126,4276,5920
