Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 37 - HUANIQUEO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 590 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,180,61,,,2,,20,67,,,,11,,0,,,,,0,14,355,638
Total,,,180,61,0,0,2,0,20,67,0,0,0,11,0,0,0,0,0,0,0,14,355,638
Sección 591 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,146,45,,,4,,3,87,,,,5,,2,,,,,0,15,307,661
Total,,,146,45,0,0,4,0,3,87,0,0,0,5,0,2,0,0,0,0,0,15,307,661
Sección 592 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,147,63,,,3,,3,141,,,,3,,2,,,,,0,17,379,746
C1,AC,Urna tradicional,150,53,,,3,,3,161,,,,4,,1,,,,,0,23,398,747
Total,,,297,116,0,0,6,0,6,302,0,0,0,7,0,3,0,0,0,0,0,40,777,1493
Sección 593 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,123,60,,,1,,6,67,,,,1,,1,,,,,0,10,269,585
C1,AC,Urna tradicional,117,46,,,0,,6,70,,,,6,,2,,,,,0,10,257,586
Total,,,240,106,0,0,1,0,12,137,0,0,0,7,0,3,0,0,0,0,0,20,526,1171
Sección 594 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,10,,,0,,2,220,,,,1,,0,,,,,0,11,264,656
Total,,,20,10,0,0,0,0,2,220,0,0,0,1,0,0,0,0,0,0,0,11,264,656
Sección 595 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,9,,,1,,0,183,,,,0,,0,,,,,0,8,216,443
Total,,,15,9,0,0,1,0,0,183,0,0,0,0,0,0,0,0,0,0,0,8,216,443
Sección 596 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,100,27,,,1,,6,116,,,,3,,1,,,,,0,17,271,640
Total,,,100,27,0,0,1,0,6,116,0,0,0,3,0,1,0,0,0,0,0,17,271,640
Sección 597 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,96,18,,,0,,3,148,,,,1,,0,,,,,0,8,274,639
Total,,,96,18,0,0,0,0,3,148,0,0,0,1,0,0,0,0,0,0,0,8,274,639
Sección 598 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,102,35,,,1,,3,64,,,,1,,3,,,,,0,13,222,629
C1,AC,Urna tradicional,105,33,,,1,,6,83,,,,0,,0,,,,,0,14,242,630
Total,,,207,68,0,0,2,0,9,147,0,0,0,1,0,3,0,0,0,0,0,27,464,1259
Sección 599 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,65,7,,,0,,3,126,,,,5,,0,,,,,0,14,220,416
C1,AC,Urna tradicional,102,10,,,2,,3,98,,,,4,,1,,,,,0,8,228,416
Total,,,167,17,0,0,2,0,6,224,0,0,0,9,0,1,0,0,0,0,0,22,448,832
Sección 600 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,87,14,,,2,,9,74,,,,2,,1,,,,,0,3,192,406
C1,AC,Urna tradicional,84,35,,,1,,9,52,,,,3,,0,,,,,0,4,188,407
Total,,,171,49,0,0,3,0,18,126,0,0,0,5,0,1,0,0,0,0,0,7,380,813
Total municipal,,,1639,526,0,0,22,0,85,1757,0,0,0,50,0,14,0,0,0,0,0,189,4282,9245
