Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 57 - NAHUATZEN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1321 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,111,225,95,45,0,0,1,,,,,4,,2,,,1,,0,11,495,721
C1,AC,Urna tradicional,122,210,130,24,1,1,7,,,,,3,,3,,,2,,0,6,509,722
C2,AC,Urna tradicional,125,242,107,30,3,0,1,,,,,4,,2,,,0,,0,14,528,722
Total,,,358,677,332,99,4,1,9,0,0,0,0,11,0,7,0,0,3,0,0,31,1532,2165
Sección 1322 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,124,218,101,9,1,1,5,,,,,5,,2,,,0,,1,7,474,648
C1,AC,Urna tradicional,125,181,126,10,1,0,6,,,,,13,,2,,,0,,0,19,483,649
Total,,,249,399,227,19,2,1,11,0,0,0,0,18,0,4,0,0,0,0,1,26,957,1297
Sección 1323 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,219,131,16,1,0,0,,,,,4,,0,,,1,,0,6,472,647
C1,AC,Urna tradicional,115,181,130,23,1,0,1,,,,,6,,6,,,2,,0,8,473,647
C2,AC,Urna tradicional,108,211,124,19,0,0,1,,,,,4,,4,,,1,,0,4,476,648
Total,,,317,611,385,58,2,0,2,0,0,0,0,14,0,10,0,0,4,0,0,18,1421,1942
Sección 1324 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,144,191,131,43,1,0,7,,,,,3,,0,,,2,,0,14,536,732
C1,AC,Urna tradicional,148,181,120,29,0,3,2,,,,,6,,2,,,0,,0,16,507,733
C2,AC,Urna tradicional,178,213,109,29,4,0,8,,,,,3,,1,,,0,,0,6,551,733
Total,,,470,585,360,101,5,3,17,0,0,0,0,12,0,3,0,0,2,0,0,36,1594,2198
Sección 1325 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,64,139,17,1,0,1,,,,,0,,0,,,0,,0,10,257,405
C1,AC,Urna tradicional,17,63,126,22,1,1,7,,,,,1,,0,,,0,,0,8,246,405
Total,,,42,127,265,39,2,1,8,0,0,0,0,1,0,0,0,0,0,0,0,18,503,810
Sección 1326 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,142,224,37,0,1,5,,,,,0,,0,,,0,,0,22,472,662
C1,AC,Urna tradicional,41,146,206,22,2,1,2,,,,,1,,0,,,0,,0,10,431,663
Total,,,82,288,430,59,2,2,7,0,0,0,0,1,0,0,0,0,0,0,0,32,903,1325
Sección 1327 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,99,174,211,22,0,0,0,,,,,0,,0,,,0,,1,19,526,748
C1,AC,Urna tradicional,65,210,212,21,2,1,3,,,,,0,,0,,,0,,0,32,546,748
Total,,,164,384,423,43,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,51,1072,1496
Sección 1328 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,55,172,184,8,0,0,0,,,,,0,,0,,,0,,0,5,424,593
C1,AC,Urna tradicional,64,155,189,5,0,0,0,,,,,0,,0,,,0,,3,14,430,593
C2,AC,Urna tradicional,48,192,155,8,0,0,0,,,,,0,,0,,,0,,0,14,417,594
Total,,,167,519,528,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,1271,1780
Sección 1329 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,17,75,82,19,1,2,4,,,,,1,,1,,,0,,0,11,213,386
C1,AC,Urna tradicional,13,82,93,13,0,0,7,,,,,2,,3,,,1,,0,8,222,386
Total,,,30,157,175,32,1,2,11,0,0,0,0,3,0,4,0,0,1,0,0,19,435,772
Sección 1330 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,101,168,31,1,0,10,,,,,2,,1,,,0,,0,4,342,539
Total,,,24,101,168,31,1,0,10,0,0,0,0,2,0,1,0,0,0,0,0,4,342,539
Sección 1331 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,30,143,206,19,0,0,8,,,,,2,,2,,,0,,0,17,427,615
C1,AC,Urna tradicional,24,180,172,21,1,0,4,,,,,2,,5,,,0,,0,16,425,616
Total,,,54,323,378,40,1,0,12,0,0,0,0,4,0,7,0,0,0,0,0,33,852,1231
Sección 1332 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,156,200,30,2,0,6,,,,,0,,7,,,0,,1,10,427,557
C1,AC,Urna tradicional,15,183,171,26,0,2,8,,,,,0,,2,,,0,,0,16,423,558
Total,,,30,339,371,56,2,2,14,0,0,0,0,0,0,9,0,0,0,0,1,26,850,1115
Sección 1333 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,111,68,16,2,2,1,,,,,0,,0,,,0,,0,3,257,499
C1,AC,Urna tradicional,86,77,89,21,0,0,0,,,,,0,,0,,,0,,0,14,287,500
Total,,,140,188,157,37,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,544,999
Sección 1334 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,189,235,10,0,0,2,,,,,0,,3,,,0,,2,11,483,688
