Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 81 - SENGUIO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1821 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,145,86,3,1,1,7,,,,,7,,6,,5,,,0,14,405,611
C1,AC,Urna tradicional,128,134,115,4,1,5,1,,,,,8,,2,,12,,,0,13,423,611
Total,,,258,279,201,7,2,6,8,0,0,0,0,15,0,8,0,17,0,0,0,27,828,1222
Sección 1822 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,130,116,7,3,3,7,,,,,13,,0,,9,,,1,17,413,596
C1,AC,Urna tradicional,79,130,145,2,2,0,4,,,,,5,,2,,15,,,0,15,399,597
C2,AC,Urna tradicional,103,157,106,0,0,2,1,,,,,6,,6,,10,,,0,10,401,597
Total,,,289,417,367,9,5,5,12,0,0,0,0,24,0,8,0,34,0,0,1,42,1213,1790
Sección 1823 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,95,141,2,0,0,0,,,,,0,,5,,10,,,0,7,264,443
C1,AC,Urna tradicional,13,111,152,1,0,0,1,,,,,1,,2,,7,,,0,7,295,444
Total,,,17,206,293,3,0,0,1,0,0,0,0,1,0,7,0,17,0,0,0,14,559,887
Sección 1824 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,149,199,1,0,6,2,,,,,1,,3,,8,,,0,25,425,739
C1,AC,Urna tradicional,36,130,251,9,2,1,3,,,,,0,,5,,6,,,0,21,464,739
Total,,,67,279,450,10,2,7,5,0,0,0,0,1,0,8,0,14,0,0,0,46,889,1478
Sección 1825 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,105,158,3,2,4,14,,,,,5,,1,,8,,,1,15,367,624
C1,AC,Urna tradicional,44,81,174,1,3,0,5,,,,,4,,0,,14,,,0,13,339,625
C2,AC,Urna tradicional,54,90,124,0,0,2,17,,,,,14,,0,,9,,,0,14,324,625
C3,AC,Urna tradicional,68,82,161,3,2,2,15,,,,,9,,1,,16,,,0,8,367,625
Total,,,217,358,617,7,7,8,51,0,0,0,0,32,0,2,0,47,0,0,1,50,1397,2499
Sección 1826 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,62,96,1,0,0,3,,,,,3,,4,,9,,,0,9,228,487
C1,AC,Urna tradicional,50,92,111,5,1,0,2,,,,,3,,1,,0,,,0,11,276,488
Total,,,91,154,207,6,1,0,5,0,0,0,0,6,0,5,0,9,0,0,0,20,504,975
Sección 1827 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,56,98,120,9,1,0,2,,,,,3,,2,,11,,,2,18,322,674
C1,AC,Urna tradicional,61,107,136,3,2,1,8,,,,,10,,1,,12,,,0,18,359,674
Total,,,117,205,256,12,3,1,10,0,0,0,0,13,0,3,0,23,0,0,2,36,681,1348
Sección 1828 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,126,178,4,0,4,0,,,,,3,,9,,15,,,0,13,397,670
C1,AC,Urna tradicional,55,124,163,1,1,2,1,,,,,3,,3,,16,,,1,11,381,671
C2,AC,Urna tradicional,65,136,167,3,1,2,6,,,,,2,,5,,16,,,0,15,418,671
Total,,,165,386,508,8,2,8,7,0,0,0,0,8,0,17,0,47,0,0,1,39,1196,2012
Sección 1829 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,76,115,0,4,15,2,,,,,0,,0,,0,,,1,6,263,434
C1,AC,Urna tradicional,38,68,123,2,2,0,3,,,,,3,,1,,7,,,0,12,259,434
Total,,,82,144,238,2,6,15,5,0,0,0,0,3,0,1,0,7,0,0,1,18,522,868
Sección 1830 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,97,64,4,1,1,1,,,,,6,,3,,2,,,1,16,249,390
C1,AC,Urna tradicional,91,81,67,1,1,0,1,,,,,6,,4,,4,,,0,11,267,391
Total,,,144,178,131,5,2,1,2,0,0,0,0,12,0,7,0,6,0,0,1,27,516,781
Sección 1831 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,68,117,197,5,1,4,8,,,,,1,,0,,8,,,1,18,428,736
Total,,,68,117,197,5,1,4,8,0,0,0,0,1,0,0,0,8,0,0,1,18,428,736
Total municipal,,,1515,2723,3465,74,31,55,114,0,0,0,0,116,0,66,0,229,0,0,8,337,8733,14596
