ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PRI,PT,PVEM,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA_ES,PAZ,MDZ,PP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,12,1301,,1003,26,,,343,566,4,13,,,,,,,,3256,2,88,3346,5346,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A01MR.jpg
32,ZACATECAS,2,APULCO,8,9,1022,,37,548,,,165,,,965,,,,,,,,2737,1,119,2857,4343,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A02MR.jpg
32,ZACATECAS,3,ATOLINGA,8,8,328,,656,,,,459,,2,,,,,,,,,1445,3,160,1608,2413,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A03MR.jpg
32,ZACATECAS,4,BENITO JUAREZ,9,9,580,,,94,,,1203,546,4,,,,,,,,,2427,0,42,2469,3478,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A04MR.jpg
32,ZACATECAS,5,CALERA,21,50,2696,,1079,151,,,9092,3076,572,25,376,,,,,,,17067,3,511,17581,28360,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A05MR.jpg
32,ZACATECAS,6,CAÑITAS ,10,12,854,,1429,1154,,,89,224,319,4,100,,,,,,,4173,0,208,4381,6002,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A06MR.jpg
32,ZACATECAS,7,CONCEPCION DEL ORO,22,26,2073,,1315,1992,,,198,567,199,,29,,,,,,,6373,0,284,6657,9441,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A07MR.jpg
32,ZACATECAS,8,CUAUHTEMOC,11,18,3044,,2057,24,,,601,670,4,7,73,,,,,,,6480,2,266,6748,8968,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A08MR.jpg
32,ZACATECAS,9,CHALCHIHUITES,21,25,3304,,81,107,,,1139,588,15,8,6,,,,,,,5248,1,186,5435,8424,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A09MR.jpg
32,ZACATECAS,10,FRESNILLO,205,322,16960,,3479,2556,,,12576,58937,1990,866,1194,,,,,,,98558,50,2995,101603,162936,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A10MR.jpg
32,ZACATECAS,11,TRINIDAD GARCIA,7,8,376,,544,,,,343,388,11,,,,,,,,,1662,0,56,1718,2821,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A11MR.jpg
32,ZACATECAS,12,GENARO CODINA,16,18,820,,950,19,,,1048,995,30,,10,,,,,,294,4166,0,184,4350,6075,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A12MR.jpg
32,ZACATECAS,13,ENRIQUE ESTRADA,7,11,666,,11,85,,,1039,224,1171,10,11,,,,,,,3217,3,131,3351,4823,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A13MR.jpg
