uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
14001,1992,PAN,C. JOSE GUADALUPE RAMIREZ CAMARENA
14001,1998,PAN,C. JOSE GUADALUPE RAMIREZ CAMARENA
14001,2000,PRI,LIC. EZEQUIEL GONZALEZ JIMENEZ
14001,2004,PRI,C. RIGOBERTO DE LA TORRE ANAYA
14001,2007,PAN,C. MARTIN HERNANDEZ GUERRERO
14001,2009,PAN,ING. HECTOR MANUEL CAMACHO HERALDEZ
14001,2012,CPJ,C. ARTURO HERNANDEZ CARBAJAL
14001,2015,PAN,C. ANTONIO CRUZ DE LA TORRE RUVALCABA
14001,2018,COAL.,C. MARCO TULIO MOYA DIAZ
14001,2021,PAN,L.C.P. MARCO TULIO MOYA DIAZ
14002,1992,PRI,LIC. JOSE ORTIZ BORRAYO
14002,1995,PRI,LIC. FELIPE DE JESUS LOPEZ GARCIA
14002,1998,PVEM,DR. MIGUEL ANGEL CARRASCO
14002,2000,PRI,DR. MARTIN DAVALOS GOMEZ
14002,2004,PRI,C. REMIGIO GARCIA VILLEGAS
14002,2007,COALICIÓN,C. LUIS CARRILLO BUENO
14002,2009,PAN,C. EDGAR SANTIAGO AVIÑA MEJIA
14002,2012,CPJ,C. EMETERIO CORONA VAZQUEZ
14002,2015,PMC,C. GERARDO UVALDO OCHOA ALVARADO
14002,2018,MC,C. GERARDO UVALDO OCHOA ALVARADO
14002,2021,PMC,C. JAIME ENRIQUE VELASCO LOPEZ
14003,1992,PRI,C. EUGENIO RIVERA URIBE
14003,1995,PRI,ING. GERARDO MAURICIO GUIZAR MACIAS
14003,1998,PRD,DR. GERARDO LEDEZMA OLMOS
14003,2000,PRD,C.P. RODOLFO ENCISO BENITEZ
14003,2004,PVEM,C. LUIS GUILLERMO MEDRANO BARBA
14003,2007,PVEM,C. MIGUEL ANGEL BAYARDO TIZNADO
14003,2009,PRD,C. JOSE FRANCISCO MORA OAXACA
14003,2012,CPJ,C. GERARDO MAURICIO GUIZAR MACIAS
14003,2015,PRI,C. VICTOR EDUARDO CASTAÑEDA LUQUIN
14003,2018,COAL.,C. JOSE MANUEL MEDRANO BARBA
14003,2021,PMC,C. JOSE BLADIMIR ARREOLA ALVAREZ
14004,1992,PAN,C. LUIS FRANCO LLAMAS
14004,1995,PAN,C. LUIS FRANCO LLAMAS
14004,1998,PRI,ING. RIGOBERTO MUÑOZ RODRIGUEZ
14004,2000,PAN,C. LUIS FRANCO LLAMAS
14004,2004,PAN,DR. JESUS GONZALEZ GUARDADO
14004,2007,PRI,C. ENRIQUE ROJAS DIAZ
14004,2009,AXJ,C. NO HAY PRESIDENTE NO APLICA NO APLICA
14004,2012,CPJ,C. ENRIQUE ROJAS DIAZ
14004,2015,PRI,C. CESAR AUGUSTO ANAYA VALENZUELA
14004,2018,COAL.,C. LUZ ELVIRA DURAN VALENZUELA
14004,2021,PMC,MTRA. LUZ ELVIRA DURAN VALENZUELA
14005,1992,PRI,PROFR. ZENON VARGAS GUTIERREZ
14005,1995,PRI,DR. BENJAMIN ALDANA GONZALEZ
14005,1998,PRI,DR. JOSE RAUL ANDRES ONTIVEROS BAHNSEN
14005,2000,PRI,DR. BENJAMIN ALDANA GONZALEZ
14005,2004,PAN,C. JOEL RODRIGUEZ SALDIVAR
14005,2007,PRI,C. RUBEN NUÑEZ YERA
14005,2009,AXJ,C. NO HAY PRESIDENTE NO APLICA NO APLICA
14005,2012,CPJ,C. JAIME VILLALOBOS RIVERA
14005,2015,COAL.,C. DAVID CALDERON GONZALEZ
14005,2018,PNA,C. GILDARDO PARTIDA MELENDREZ
14005,2021,MORENA,ING. JOSUE SAUL PEREZ OCAMPO
14006,1992,PRI,C. ROBERTO RUBIO ZARATE
14006,1995,PAN,DR. RAMON AHUMADA MEZA
14006,1998,PRI,C. MARCO ANTONIO PEREZ HERNANDEZ
14006,2000,PAN,C. J. JESUS GUERRERO HERNANDEZ
14006,2004,PVEM,ING. RUBEN ARMANDO SALAZAR PRADO
14006,2007,PAN,C. GILBERTO AREVALO AHUMADA
14006,2009,AXJ,L.A.E. MIRIAM JUDITH SANCHEZ HERNANDEZ
14006,2012,PAN,C. MARGARITO PACHECO OLIVA
14006,2015,COAL.,C. MARCO ANTONIO CASTRO ROSAS
14006,2018,COAL.,C. JUAN VALENTIN SERRANO JIMENEZ
14006,2021,PMC,ING. JUAN VALENTIN SERRANO JIMENEZ
14007,1992,PRI,PROFR. EZEQUIEL ORENDAIN HERNANDEZ
14007,1995,PRD,C. JOSE GUADALUPE AVILA HERNANDEZ
14007,1998,PRI,DR. PEDRO CORONA ACEVES
14007,2000,PRI,PROFR. CUAUHTEMOC DOMINGUEZ FARIAS
14007,2004,PRI,DR. PEDRO CORONA ACEVES
14007,2007,PAN,C. CASIMIRO FLORES PACHECO
