ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,19,52,7322,3805,850,348,779,530,365,3566,233,142,,,,181,,,,18121,16,879,19016,28856,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_1.PDF
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,8,45,9348,3260,470,226,641,377,276,4514,324,296,,,,,,,,19732,30,647,20409,29642,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_2.PDF
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,48,5417,4925,447,371,665,370,375,5176,249,426,,,,,,,,18421,0,965,19386,28545,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_3.PDF
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,23,57,5850,5531,963,1101,519,302,482,5345,306,305,,,,,,491,,21195,408,742,22345,30794,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_4.PDF
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,21,55,5133,5717,484,408,607,343,384,6409,247,252,,,,,,,728,20712,17,824,21553,31220,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_5.PDF
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,32,62,6606,6393,678,429,702,441,868,5725,566,275,,,,,,,,22683,13,1131,23827,32466,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_6.PDF
4,CAMPECHE,7,TENABO,35,66,5181,7220,457,541,463,372,712,8350,292,474,,,,,,,,24062,11,934,25007,31655,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_7.PDF
4,CAMPECHE,8,CD DEL CARMEN,17,53,3389,3588,518,173,416,173,280,7439,196,273,,316,,,542,,,17303,24,768,18095,31518,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_8.PDF
4,CAMPECHE,9,CD DEL CARMEN,24,53,2805,5446,477,354,386,165,297,7491,275,292,1677,,,,,,,19665,8,780,20453,31316,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_9.PDF
4,CAMPECHE,10,CD DEL CARMEN,16,43,3887,3064,435,204,372,172,229,7926,218,272,,,531,,,,,17310,8,682,18000,28478,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_10.PDF
4,CAMPECHE,11,CD DEL CARMEN,30,54,2873,3590,629,326,690,402,292,9452,277,357,,,,,,,,18888,10,732,19630,31658,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_11.PDF
4,CAMPECHE,12,SABANCUY CARMEN,29,54,2780,6427,290,353,1179,276,347,7284,194,152,,,,,,,,19282,2,1230,20514,31001,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_12.PDF
4,CAMPECHE,13,ESCARCEGA,28,57,2599,4728,523,418,1849,471,300,7985,408,57,,,,,,,,19338,9,1101,20448,31219,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_13.PDF
4,CAMPECHE,14,CANDELARIA,30,61,6805,7017,292,268,314,229,361,3818,88,29,,,,,,,,19221,0,1206,20427,30987,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_14.PDF
4,CAMPECHE,15,CHAMPOTON,27,57,3677,4910,1267,371,895,294,458,7891,839,150,,,,,,,,20752,9,1221,21982,32102,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_15.PDF
4,CAMPECHE,16,CHAMPOTON,29,60,2664,7790,1058,431,736,260,682,7357,383,111,,,,,,,,21472,5,1240,22717,32168,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_16.PDF
4,CAMPECHE,17,CALKINI,25,58,904,7176,1659,551,1330,2748,1716,7425,214,422,,,,,,,,24145,49,906,25100,31726,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_17.PDF
4,CAMPECHE,18,HOPELCHEN,32,54,4623,9849,472,423,866,449,345,2418,82,45,,,,,,,,19572,0,622,20194,26997,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_18.PDF
4,CAMPECHE,19,HECELCHAKAN,29,55,4791,5856,693,623,355,549,2518,5117,4284,97,,,,,,,,24883,651,816,26350,31034,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_19.PDF
4,CAMPECHE,20,PALIZADA,29,57,2227,6715,741,546,388,1007,411,7453,203,182,,,,,,,,19873,1,1463,21337,31055,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_20.PDF
4,CAMPECHE,21,XPUJIL CALAKMUL,26,54,2473,6083,637,355,1072,326,404,4077,215,2826,,,,,,,,18468,15,1361,19844,27619,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_21.PDF
