ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA,,,
29,TLAXCALA,001,AMAXAC DE GUERRERO,0004,12,246,1052,,264,220,144,,106,2261,937,7,2,2,0,,,,,,,,,,253,,5494,5,239,5738,8024,,,,
29,TLAXCALA,002,APETATITLAN DE ANTONIO CARVAJAL,0007,20,854,1383,,443,341,361,,217,3345,552,23,17,3,2,,,,,,,,,,382,,7923,1,384,8308,11474,,,,
29,TLAXCALA,003,APIZACO,0037,104,8181,6590,,803,7068,1021,,686,14556,1375,101,62,33,7,,,,,,,,,,,,40483,44,1936,42463,64021,,,,
29,TLAXCALA,004,ATLANGATEPEC,0009,11,370,,404,81,147,26,252,37,796,44,4,5,2,2,26,12,2,9,95,175,,,,,,2489,695,166,3350,4886,,,,
29,TLAXCALA,005,ATLTZAYANCA  ,0019,27,714,1684,,313,2263,125,,165,2422,121,9,25,4,0,,,,,,,,,,,,7845,1,462,8308,12181,,,,
29,TLAXCALA,006,CALPULALPAN,0021,55,2696,3539,,451,923,567,,1539,8918,640,69,40,26,10,299,97,16,118,,,,,,,,19948,8,862,20818,34177,,,,
29,TLAXCALA,007,EL CARMEN TEQUEXQUITLA,0007,18,849,1566,,155,417,116,,76,2631,104,7,11,7,0,,,,,,,,,,,,5939,5,475,6419,11380,,,,
29,TLAXCALA,008,CUAPIAXTLA,0010,19,542,1354,,277,1202,88,,62,2482,116,7,18,0,0,,,,,,,,,,,,6148,4,376,6528,10194,,,,
29,TLAXCALA,009,CUAXOMULCO,0005,8,424,670,,55,161,99,,123,990,50,9,5,1,0,20,9,1,8,,,253,,,,,2878,2,133,3013,4390,,,,
29,TLAXCALA,010,CHIAUTEMPAN,0030,87,4715,3565,,1268,1869,1039,,1148,15181,680,107,57,37,23,410,185,8,103,,,,,,,3115,33510,21,1207,34738,51679,,,,
29,TLAXCALA,011,MUÑOZ DE DOMINGO ARENAS,0004,7,338,254,,34,620,20,,31,842,65,1,2,1,0,,,,,,,,,,,,2208,2,152,2362,3631,,,,
