Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PVEM,PNA,CC_PAN_PNA,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,CC_1,CC_2
14,18,HUEHUETLAN ,468,B01,417,50,31,133,3,6,68,27,318,15,333,59,232,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,469,B01,533,58,37,103,2,18,57,54,329,57,386,78,197,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,470,B01,392,59,27,88,0,9,33,20,236,26,262,68,148,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,470,C01,392,43,21,100,3,21,43,17,248,26,274,67,164,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,471,B01,530,123,42,105,18,19,56,24,387,28,415,160,203,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,472,B01,506,109,41,110,4,13,41,57,375,30,405,126,192,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,472,E01,509,164,27,73,2,32,32,50,380,56,436,198,132,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,473,B01,403,58,29,90,2,25,24,49,277,38,315,85,143,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,473,C01,403,72,28,66,4,19,29,56,274,37,311,95,123,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,474,B01,544,119,27,72,1,43,23,87,372,41,413,163,122,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,474,C01,543,105,25,72,2,40,30,87,361,39,400,147,127,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,474,E01,343,96,23,47,2,37,16,40,261,30,291,135,86,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,475,B01,739,255,41,41,8,51,26,91,513,57,570,314,108,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,475,C01,739,220,40,44,8,54,21,102,489,88,577,282,105,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,476,B01,536,87,31,54,2,28,31,130,363,43,406,117,116,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,476,C01,535,109,19,47,2,36,21,112,346,44,390,147,87,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,477,B01,554,103,22,79,0,32,34,92,362,29,391,135,135,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,477,C01,553,119,25,76,4,31,27,89,371,31,402,154,128,PAN_PNA,PRI_PVEM
14,18,HUEHUETLAN ,477,C02,553,118,22,90,3,26,32,99,390,33,423,147,144,PAN_PNA,PRI_PVEM
