CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,9,S,1,0,SRP01,44,33,5,5,11,1,5,49,2,155,0,11,166,,Acta casilla,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,43,S,1,0,SRP01,12,6,0,6,1,3,0,27,1,56,1,5,62,,Acta casilla,,,
,1,AGUASCALIENTES,5,AGUASCALIENTES,001,AGUASCALIENTES,82,S,1,0,SRP01,6,0,0,0,0,0,0,4,1,11,0,0,11,,Acta casilla,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,001,AGUASCALIENTES,126,S,1,0,SRP01,12,5,0,0,4,1,5,31,2,60,1,2,63,,Acta casilla,,,
,1,AGUASCALIENTES,17,AGUASCALIENTES,001,AGUASCALIENTES,218,S,1,0,SRP01,8,3,1,0,0,0,3,6,0,21,0,2,23,,Acta casilla,,,
,1,AGUASCALIENTES,17,AGUASCALIENTES,001,AGUASCALIENTES,218,S,2,0,SRP02,18,7,3,0,1,1,2,17,0,49,1,5,55,,Acta casilla,,,
,1,AGUASCALIENTES,9,AGUASCALIENTES,001,AGUASCALIENTES,333,S,1,0,SRP01,24,5,2,4,1,4,0,22,0,62,0,0,62,,Acta casilla,,,
,1,AGUASCALIENTES,8,CALVILLO,003,CALVILLO,362,S,1,0,SRP01,78,31,3,13,9,5,24,62,1,226,0,18,244,,Acta casilla,,,
,1,AGUASCALIENTES,8,CALVILLO,008,SAN JOSE DE GRACIA,457,S,1,0,SRP01,32,19,1,3,0,4,3,22,3,87,0,3,90,,Acta casilla,,,
,1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,010,SAN FRANCISCO DE LOS ROMO,470,S,1,0,SRP01,36,25,2,0,13,3,3,40,2,124,0,7,131,,Acta casilla,,,
