ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PT,PVEM,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA_ES,PAZ,MDZ,PP,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,62,134,7338,,4001,901,,,8183,23428,1367,802,598,,46618,59,1653,48330,74371,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D01MR.jpg
32,ZACATECAS,2,ZACATECAS,79,135,8277,,4840,1879,,,10728,17460,1351,608,715,,45858,20,1811,47689,71666,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D02MR.jpg
32,ZACATECAS,3,GUADALUPE,59,117,9805,,1315,1039,,,5577,20539,1987,703,363,,41328,27,1481,42836,66104,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D03MR.jpg
32,ZACATECAS,4,GUADALUPE,55,122,11221,,1056,1721,,,4416,21601,1388,421,308,,42132,23,1247,43402,68242,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D04MR.jpg
32,ZACATECAS,5,FRESNILLO,70,119,7336,,928,988,,,4760,21458,638,358,290,,36756,48,1332,38136,61894,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D05MR.jpg
32,ZACATECAS,6,FRESNILLO,80,127,5842,,1200,757,,,5425,20222,1163,216,397,6649,41871,23,1035,42929,66283,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D06MR.jpg
32,ZACATECAS,7,FRESNILLO,128,161,7075,,7910,699,,,8306,14820,465,213,267,,39755,15,1552,41322,66448,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D07MR.jpg
32,ZACATECAS,8,OJOCALIENTE,74,116,13927,,2300,1305,,,8151,11772,319,113,129,,38016,16,1867,39899,58193,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D08MR.jpg
32,ZACATECAS,9,LORETO,63,110,10053,8331,2245,494,8551,578,5812,,421,881,125,,37491,15,1733,39239,57602,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D09MR.jpg
32,ZACATECAS,10,JEREZ,139,165,10515,,5555,3327,,,8891,8897,311,470,185,,38151,14,1732,39897,66601,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D10MR.jpg
32,ZACATECAS,11,VILLANUEVA,104,136,10800,1987,5573,963,7106,874,11136,,240,79,444,,39202,9,2118,41329,60674,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D11MR.jpg
32,ZACATECAS,12,VILLA DE COS,145,180,14857,,2806,13712,,,2881,11505,26,170,188,,46145,24,2109,48278,65938,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D12MR.jpg
32,ZACATECAS,13,JALPA,124,157,8624,,1305,1160,,,15588,10897,211,585,92,,38462,7,2063,40532,66964,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D13MR.jpg
32,ZACATECAS,14,TLALTENANGO,150,178,10939,,2967,838,,,16413,10270,495,60,4,,41986,9,1648,43643,67776,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D14MR.jpg
32,ZACATECAS,15,PINOS,119,144,19457,,943,432,,,8309,11380,129,104,1351,,42105,26,1676,43807,62937,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D15MR.jpg
32,ZACATECAS,16,RIO GRANDE,88,126,10449,,2330,1217,,,11647,9121,415,430,142,,35751,6,1774,37531,61223,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D16MR.jpg
32,ZACATECAS,17,SOMBRERETE,120,148,9826,,1418,615,,,9508,8621,3330,82,97,,33497,5,1430,34932,58489,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D17MR.jpg
32,ZACATECAS,18,JUAN ALDAMA,98,134,12740,,833,577,,,6524,15261,738,218,396,,37287,10,1500,38797,61054,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D18MR.jpg
