Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 62 - OCAMPO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1378 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,38,3,145,145,0,0,,,,12,,,,,,0,,0,21,417,574
C1,AC,Urna tradicional,42,39,6,145,164,0,2,,,,0,,,,,,0,,0,13,411,575
Total,,,95,77,9,290,309,0,2,0,0,0,12,0,0,0,0,0,0,0,0,34,828,1149
Sección 1379 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,54,18,232,167,0,1,,,,6,,,,,,0,,0,12,538,732
C1,AC,Urna tradicional,36,42,18,172,217,1,1,,,,8,,,,,,0,,0,18,513,733
Total,,,84,96,36,404,384,1,2,0,0,0,14,0,0,0,0,0,0,0,0,30,1051,1465
Sección 1380 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,42,71,134,115,3,4,,,,2,,,,,,1,,0,33,417,650
Total,,,12,42,71,134,115,3,4,0,0,0,2,0,0,0,0,0,1,0,0,33,417,650
Sección 1381 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,59,35,162,134,1,2,,,,3,,,,,,0,,0,36,468,627
E1,AC,Urna tradicional,20,37,69,161,153,3,1,,,,4,,,,,,1,,0,26,475,694
Total,,,56,96,104,323,287,4,3,0,0,0,7,0,0,0,0,0,1,0,0,62,943,1321
Sección 1382 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,26,21,91,97,1,0,,,,46,,,,,,22,,0,20,340,358
Total,,,16,26,21,91,97,1,0,0,0,0,46,0,0,0,0,0,22,0,0,20,340,358
Sección 1383 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,26,53,49,185,113,0,2,,,,8,,,,,,0,,0,20,456,604
C1,AC,Urna tradicional,32,40,68,197,136,0,2,,,,10,,,,,,0,,0,16,501,605
Total,,,58,93,117,382,249,0,4,0,0,0,18,0,0,0,0,0,0,0,0,36,957,1209
Sección 1384 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,73,13,112,122,1,7,,,,7,,,,,,0,,0,21,419,575
C1,AC,Urna tradicional,92,54,16,112,101,0,0,,,,6,,,,,,0,,0,26,407,575
C2,AC,Urna tradicional,71,45,21,114,109,1,0,,,,6,,,,,,0,,0,18,385,575
Total,,,226,172,50,338,332,2,7,0,0,0,19,0,0,0,0,0,0,0,0,65,1211,1725
Sección 1385 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,49,29,135,91,1,1,,,,3,,,,,,1,,0,19,365,534
C1,AC,Urna tradicional,26,61,20,154,84,0,0,,,,6,,,,,,0,,0,12,363,534
E1,AC,Urna tradicional,16,64,24,73,62,0,0,,,,3,,,,,,0,,0,18,260,421
E1C1,AC,Urna tradicional,22,40,13,82,66,1,7,,,,0,,,,,,0,,0,20,251,422
Total,,,100,214,86,444,303,2,8,0,0,0,12,0,0,0,0,0,1,0,0,69,1239,1911
Sección 1386 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,76,5,154,99,0,2,,,,10,,,,,,0,,0,19,392,506
C1,AC,Urna tradicional,40,78,15,107,120,1,0,,,,11,,,,,,0,,0,24,396,506
C2,AC,Urna tradicional,28,68,23,143,66,2,0,,,,13,,,,,,1,,0,24,368,507
Total,,,95,222,43,404,285,3,2,0,0,0,34,0,0,0,0,0,1,0,0,67,1156,1519
Sección 1387 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,26,61,91,123,0,2,,,,1,,,,,,0,,0,19,329,467
C1,AC,Urna tradicional,14,28,46,84,136,0,0,,,,0,,,,,,0,,0,18,326,467
Total,,,20,54,107,175,259,0,2,0,0,0,1,0,0,0,0,0,0,0,0,37,655,934
Sección 1388 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,23,36,137,161,0,0,,,,3,,,,,,1,,0,21,395,506
C1,AC,Urna tradicional,8,38,28,96,166,0,1,,,,2,,,,,,0,,0,22,361,506
C2,AC,Urna tradicional,12,51,23,115,167,0,1,,,,0,,,,,,0,,0,21,390,506
Total,,,33,112,87,348,494,0,2,0,0,0,5,0,0,0,0,0,1,0,0,64,1146,1518
Total municipal,,,795,1204,731,3333,3114,16,36,0,0,0,170,0,0,0,0,0,27,0,0,517,9943,13759
