Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 5 - ANGANGUEO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 52 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,178,84,18,44,2,0,7,,,,,9,,2,,,2,,0,2,348,470
C1,AC,Urna tradicional,182,82,19,35,0,2,0,,,,,3,,0,,,6,,1,3,333,470
Total,,,360,166,37,79,2,2,7,0,0,0,0,12,0,2,0,0,8,0,1,5,681,940
Sección 53 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,137,114,16,21,0,1,0,,,,,4,,0,,,0,,0,7,300,413
C1,AC,Urna tradicional,120,116,24,33,0,1,1,,,,,0,,0,,,0,,0,3,298,414
Total,,,257,230,40,54,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,10,598,827
Sección 54 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,175,90,5,20,0,0,3,,,,,11,,0,,,1,,1,3,309,448
C1,AC,Urna tradicional,197,84,10,24,1,0,4,,,,,4,,0,,,0,,0,2,326,449
Total,,,372,174,15,44,1,0,7,0,0,0,0,15,0,0,0,0,1,0,1,5,635,897
Sección 55 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,178,81,24,66,1,5,0,,,,,7,,2,,,0,,0,9,373,519
C1,AC,Urna tradicional,179,78,27,56,0,0,2,,,,,6,,1,,,0,,0,5,354,520
C2,AC,Urna tradicional,187,82,23,51,0,1,6,,,,,2,,2,,,0,,0,7,361,520
E1,AC,Urna tradicional,195,49,12,172,2,0,2,,,,,6,,0,,,1,,1,10,450,549
Total,,,739,290,86,345,3,6,10,0,0,0,0,21,0,5,0,0,1,0,1,31,1538,2108
Sección 56 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,160,16,143,3,1,3,,,,,0,,0,,,0,,0,9,369,504
C1,AC,Urna tradicional,33,141,8,135,1,1,1,,,,,0,,1,,,0,,0,18,339,505
E1,AC,Urna tradicional,11,103,5,31,0,0,0,,,,,0,,0,,,0,,0,7,157,188
Total,,,78,404,29,309,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0,34,865,1197
Sección 57 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,113,307,22,70,1,1,0,,,,,2,,2,,,0,,0,9,527,741
C1,AC,Urna tradicional,145,261,25,76,0,0,2,,,,,5,,1,,,0,,0,12,527,742
E1,AC,Urna tradicional,135,133,4,73,0,3,0,,,,,3,,2,,,1,,1,8,363,528
Total,,,393,701,51,219,1,4,2,0,0,0,0,10,0,5,0,0,1,0,1,29,1417,2011
Total municipal,,,2199,1965,258,1050,11,16,31,0,0,0,0,62,0,13,0,0,11,0,4,114,5734,7980
