Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 60 - NUEVO URECHO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1360 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,23,98,,,0,,0,143,,,,0,,1,,,,,0,2,267,395
C1,AC,Urna tradicional,10,91,,,2,,0,160,,,,0,,0,,,,,0,5,268,396
E1,AC,Urna tradicional,25,211,,,0,,0,130,,,,0,,0,,,,,1,8,375,554
E2,AC,Urna tradicional,17,112,,,4,,0,224,,,,0,,2,,,,,0,8,367,568
Total,,,75,512,0,0,6,0,0,657,0,0,0,0,0,3,0,0,0,0,1,23,1277,1913
Sección 1361 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,19,89,,,0,,0,157,,,,0,,0,,,,,0,9,274,382
C1,AC,Urna tradicional,27,121,,,0,,0,126,,,,1,,2,,,,,0,8,285,382
Total,,,46,210,0,0,0,0,0,283,0,0,0,1,0,2,0,0,0,0,0,17,559,764
Sección 1362 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,108,,,3,,1,169,,,,0,,0,,,,,0,10,324,557
Total,,,33,108,0,0,3,0,1,169,0,0,0,0,0,0,0,0,0,0,0,10,324,557
Sección 1363 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,156,,,2,,12,197,,,,2,,1,,,,,0,13,433,694
Total,,,50,156,0,0,2,0,12,197,0,0,0,2,0,1,0,0,0,0,0,13,433,694
Sección 1364 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,72,,,2,,1,102,,,,0,,0,,,,,0,5,198,394
E1,AC,Urna tradicional,56,86,,,1,,0,251,,,,0,,0,,,,,0,15,409,606
Total,,,72,158,0,0,3,0,1,353,0,0,0,0,0,0,0,0,0,0,0,20,607,1000
Sección 1365 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,113,,,0,,1,80,,,,0,,0,,,,,0,11,227,309
Total,,,22,113,0,0,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,11,227,309
Sección 1366 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,28,92,,,0,,0,119,,,,2,,0,,,,,0,3,244,337
E1,AC,Urna tradicional,16,43,,,1,,0,90,,,,0,,3,,,,,0,2,155,247
Total,,,44,135,0,0,1,0,0,209,0,0,0,2,0,3,0,0,0,0,0,5,399,584
Sección 1367 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,79,,,0,,0,129,,,,0,,0,,,,,0,7,257,368
Total,,,42,79,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,7,257,368
Sección 1368 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,28,,,2,,0,54,,,,0,,0,,,,,0,1,106,190
Total,,,21,28,0,0,2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,1,106,190
Total municipal,,,405,1499,0,0,17,0,15,2131,0,0,0,5,0,9,0,0,0,0,1,107,4189,6379
