Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 74 - QUIROGA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1661 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,138,130,73,9,2,,0,,,,,7,,0,,,,,0,19,378,593
C1,AC,Urna tradicional,159,130,51,10,1,,0,,,,,8,,2,,,,,0,16,377,593
C2,AC,Urna tradicional,155,123,75,5,0,,2,,,,,4,,1,,,,,0,14,379,593
Total,,,452,383,199,24,3,0,2,0,0,0,0,19,0,3,0,0,0,0,0,49,1134,1779
Sección 1662 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,116,213,91,12,3,,4,,,,,0,,0,,,,,0,11,450,696
C1,AC,Urna tradicional,137,161,102,10,0,,1,,,,,6,,6,,,,,0,6,429,697
C2,AC,Urna tradicional,107,172,104,14,2,,0,,,,,3,,2,,,,,0,24,428,697
C3,AC,Urna tradicional,139,188,93,7,0,,4,,,,,0,,0,,,,,0,0,431,697
C4,AC,Urna tradicional,131,185,91,9,0,,1,,,,,3,,5,,,,,0,12,437,697
Total,,,630,919,481,52,5,0,10,0,0,0,0,12,0,13,0,0,0,0,0,53,2175,3484
Sección 1663 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,157,79,72,10,0,,1,,,,,7,,1,,,,,0,8,335,507
C1,AC,Urna tradicional,123,113,67,10,4,,3,,,,,1,,2,,,,,0,11,334,507
C2,AC,Urna tradicional,138,118,56,6,0,,0,,,,,0,,0,,,,,0,0,318,508
Total,,,418,310,195,26,4,0,4,0,0,0,0,8,0,3,0,0,0,0,0,19,987,1522
Sección 1664 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,132,108,63,10,1,,0,,,,,4,,2,,,,,0,15,335,513
C1,AC,Urna tradicional,130,115,62,7,1,,0,,,,,2,,3,,,,,0,13,333,514
C2,AC,Urna tradicional,134,125,57,12,0,,0,,,,,1,,1,,,,,0,5,335,514
E1,AC,Urna tradicional,74,81,76,2,1,,1,,,,,3,,2,,,,,0,6,246,420
Total,,,470,429,258,31,3,0,1,0,0,0,0,10,0,8,0,0,0,0,0,39,1249,1961
Sección 1665 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,136,102,69,14,1,,0,,,,,9,,1,,,,,0,18,350,586
C1,AC,Urna tradicional,141,97,86,15,1,,2,,,,,7,,3,,,,,0,11,363,586
C2,AC,Urna tradicional,127,95,86,19,0,,1,,,,,7,,3,,,,,0,15,353,586
Total,,,404,294,241,48,2,0,3,0,0,0,0,23,0,7,0,0,0,0,0,44,1066,1758
Sección 1666 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,137,106,65,17,0,,1,,,,,8,,0,,,,,0,10,344,571
C1,AC,Urna tradicional,125,124,65,16,1,,3,,,,,2,,0,,,,,0,9,345,572
C2,AC,Urna tradicional,118,133,64,14,2,,1,,,,,3,,2,,,,,1,10,348,572
Total,,,380,363,194,47,3,0,5,0,0,0,0,13,0,2,0,0,0,0,1,29,1037,1715
Sección 1667 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,39,122,4,1,,1,,,,,2,,1,,,,,0,18,300,631
C1,AC,Urna tradicional,129,60,112,2,0,,2,,,,,1,,1,,,,,0,5,312,631
Total,,,241,99,234,6,1,0,3,0,0,0,0,3,0,2,0,0,0,0,0,23,612,1262
Sección 1668 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,80,19,145,3,0,,0,,,,,3,,3,,,,,0,21,274,557
C1,AC,Urna tradicional,101,15,162,1,2,,0,,,,,1,,1,,,,,0,12,295,557
Total,,,181,34,307,4,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,33,569,1114
Sección 1669 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,111,96,7,2,,0,,,,,18,,0,,,,,1,22,371,666
C1,AC,Urna tradicional,152,87,108,2,2,,2,,,,,1,,4,,,,,0,24,382,667
C2,AC,Urna tradicional,174,97,69,5,2,,0,,,,,3,,0,,,,,0,16,366,667
Total,,,440,295,273,14,6,0,2,0,0,0,0,22,0,4,0,0,0,0,1,62,1119,2000
Sección 1670 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,105,99,6,2,,2,,,,,7,,4,,,,,0,17,356,627
C1,AC,Urna tradicional,135,123,87,1,0,,0,,,,,0,,0,,,,,0,0,346,628
C2,AC,Urna tradicional,138,120,70,4,4,,2,,,,,0,,0,,,,,0,0,338,628
Total,,,387,348,256,11,6,0,4,0,0,0,0,7,0,4,0,0,0,0,0,17,1040,1883
Sección 1671 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,71,94,92,2,1,,1,,,,,3,,4,,,,,0,17,285,527
C1,AC,Urna tradicional,56,95,125,5,1,,1,,,,,1,,3,,,,,0,22,309,527
Total,,,127,189,217,7,2,0,2,0,0,0,0,4,0,7,0,0,0,0,0,39,594,1054
Sección 1672 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,77,82,8,0,,1,,,,,8,,1,,,,,0,10,230,403
C1,AC,Urna tradicional,46,62,94,9,0,,0,,,,,2,,1,,,,,0,17,231,403
Total,,,89,139,176,17,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,27,461,806
Sección 1673 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,76,64,89,3,0,,0,,,,,0,,0,,,,,0,16,248,401
Total,,,76,64,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,248,401
Sección 1674 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,134,49,13,2,1,,2,,,,,0,,1,,,,,0,9,211,316
Total,,,134,49,13,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,9,211,316
Total municipal,,,4429,3915,3133,292,38,0,39,0,0,0,0,135,0,60,0,0,0,0,2,459,12502,21055
