Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 106 - VISTA HERMOSA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2357 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,270,124,,,54,,6,41,,,,8,,,,,,,0,6,509,715
C1,AC,Urna tradicional,277,118,,,59,,1,43,,,,0,,,,,,,0,9,507,716
Total,,,547,242,0,0,113,0,7,84,0,0,0,8,0,0,0,0,0,0,0,15,1016,1431
Sección 2358 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,192,67,,,15,,2,26,,,,4,,,,,,,0,2,308,471
C1,AC,Urna tradicional,170,84,,,11,,2,36,,,,3,,,,,,,0,3,309,472
Total,,,362,151,0,0,26,0,4,62,0,0,0,7,0,0,0,0,0,0,0,5,617,943
Sección 2359 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,136,84,,,5,,0,33,,,,0,,,,,,,0,3,261,383
C1,AC,Urna tradicional,126,83,,,2,,2,22,,,,0,,,,,,,0,7,242,384
Total,,,262,167,0,0,7,0,2,55,0,0,0,0,0,0,0,0,0,0,0,10,503,767
Sección 2360 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,198,122,,,23,,3,28,,,,0,,,,,,,0,3,377,555
C1,AC,Urna tradicional,170,124,,,10,,1,53,,,,5,,,,,,,1,5,369,556
C2,AC,Urna tradicional,178,111,,,13,,5,47,,,,2,,,,,,,0,10,366,556
Total,,,546,357,0,0,46,0,9,128,0,0,0,7,0,0,0,0,0,0,1,18,1112,1667
Sección 2361 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,195,158,,,4,,6,40,,,,5,,,,,,,0,5,413,654
C1,AC,Urna tradicional,208,137,,,10,,0,66,,,,0,,,,,,,0,4,425,654
C2,AC,Urna tradicional,166,175,,,1,,1,51,,,,7,,,,,,,0,1,402,655
Total,,,569,470,0,0,15,0,7,157,0,0,0,12,0,0,0,0,0,0,0,10,1240,1963
Sección 2362 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,308,171,,,5,,0,28,,,,0,,,,,,,0,8,520,728
C1,AC,Urna tradicional,254,156,,,17,,19,47,,,,0,,,,,,,0,8,501,728
Total,,,562,327,0,0,22,0,19,75,0,0,0,0,0,0,0,0,0,0,0,16,1021,1456
Sección 2363 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,107,,,17,,0,69,,,,0,,,,,,,0,5,245,474
C1,AC,Urna tradicional,34,101,,,19,,2,76,,,,0,,,,,,,0,4,236,475
Total,,,81,208,0,0,36,0,2,145,0,0,0,0,0,0,0,0,0,0,0,9,481,949
Sección 2364 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,134,,,12,,1,76,,,,0,,,,,,,0,3,273,537
Total,,,47,134,0,0,12,0,1,76,0,0,0,0,0,0,0,0,0,0,0,3,273,537
Sección 2365 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,80,,,14,,2,21,,,,1,,,,,,,0,3,249,671
C1,AC,Urna tradicional,118,83,,,21,,7,35,,,,3,,,,,,,0,17,284,672
Total,,,246,163,0,0,35,0,9,56,0,0,0,4,0,0,0,0,0,0,0,20,533,1343
Sección 2366 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,81,,,7,,4,40,,,,1,,,,,,,0,5,223,537
C1,AC,Urna tradicional,82,55,,,13,,3,66,,,,0,,,,,,,0,5,224,537
Total,,,167,136,0,0,20,0,7,106,0,0,0,1,0,0,0,0,0,0,0,10,447,1074
Sección 2367 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,111,89,,,9,,5,78,,,,1,,,,,,,0,2,295,467
C1,AC,Urna tradicional,129,95,,,11,,7,47,,,,0,,,,,,,0,10,299,467
Total,,,240,184,0,0,20,0,12,125,0,0,0,1,0,0,0,0,0,0,0,12,594,934
Sección 2368 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,93,115,,,47,,1,25,,,,0,,,,,,,0,5,286,457
C1,AC,Urna tradicional,101,75,,,46,,1,24,,,,0,,,,,,,0,5,252,457
Total,,,194,190,0,0,93,0,2,49,0,0,0,0,0,0,0,0,0,0,0,10,538,914
Sección 2369 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,151,68,,,33,,0,40,,,,2,,,,,,,0,4,298,526
C1,AC,Urna tradicional,159,68,,,19,,2,28,,,,1,,,,,,,0,4,281,526
C2,AC,Urna tradicional,138,66,,,21,,1,42,,,,0,,,,,,,0,7,275,527
Total,,,448,202,0,0,73,0,3,110,0,0,0,3,0,0,0,0,0,0,0,15,854,1579
Total municipal,,,4271,2931,0,0,518,0,84,1228,0,0,0,43,0,0,0,0,0,0,1,153,9229,15557
