Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 36 - HUANDACAREO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 580 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,49,134,91,11,56,,0,,,,,5,,,,,,,0,14,360,572
C1,AC,Urna tradicional,71,123,77,15,37,,2,,,,,0,,,,,,,0,13,338,572
Total,,,120,257,168,26,93,0,2,0,0,0,0,5,0,0,0,0,0,0,0,27,698,1144
Sección 581 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,120,44,11,83,,0,,,,,0,,,,,,,1,15,314,575
C1,AC,Urna tradicional,35,115,63,9,71,,1,,,,,4,,,,,,,1,15,314,575
Total,,,75,235,107,20,154,0,1,0,0,0,0,4,0,0,0,0,0,0,2,30,628,1150
Sección 582 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,164,48,15,74,,0,,,,,2,,,,,,,0,10,364,655
Total,,,51,164,48,15,74,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,364,655
Sección 583 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,92,49,11,43,,0,,,,,1,,,,,,,0,12,251,437
C1,AC,Urna tradicional,64,87,47,17,49,,1,,,,,1,,,,,,,0,12,278,437
Total,,,107,179,96,28,92,0,1,0,0,0,0,2,0,0,0,0,0,0,0,24,529,874
Sección 584 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,187,97,21,72,,0,,,,,1,,,,,,,0,6,432,685
C1,AC,Urna tradicional,73,133,69,19,106,,0,,,,,1,,,,,,,0,10,411,685
Total,,,121,320,166,40,178,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,843,1370
Sección 585 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,170,63,10,79,,0,,,,,3,,,,,,,0,8,400,701
Total,,,67,170,63,10,79,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,400,701
Sección 586 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,96,145,60,6,95,,5,,,,,0,,,,,,,0,10,417,676
C1,AC,Urna tradicional,64,162,76,4,77,,5,,,,,1,,,,,,,0,11,400,677
Total,,,160,307,136,10,172,0,10,0,0,0,0,1,0,0,0,0,0,0,0,21,817,1353
Sección 587 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,94,32,4,25,,0,,,,,0,,,,,,,0,5,196,400
C1,AC,Urna tradicional,26,104,32,5,23,,1,,,,,0,,,,,,,0,7,198,401
Total,,,62,198,64,9,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,394,801
Sección 588 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,153,161,9,30,,1,,,,,2,,,,,,,0,7,411,636
C1,AC,Urna tradicional,59,164,153,6,19,,0,,,,,0,,,,,,,0,20,421,636
Total,,,107,317,314,15,49,0,1,0,0,0,0,2,0,0,0,0,0,0,0,27,832,1272
Sección 589 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,76,139,63,20,49,,1,,,,,4,,,,,,,0,12,364,572
C1,AC,Urna tradicional,58,123,70,32,60,,3,,,,,0,,,,,,,0,18,364,573
C2,AC,Urna tradicional,79,92,76,29,58,,1,,,,,3,,,,,,,0,16,354,573
Total,,,213,354,209,81,167,0,5,0,0,0,0,7,0,0,0,0,0,0,0,46,1082,1718
Total municipal,,,1083,2501,1371,254,1106,0,21,0,0,0,0,28,0,0,0,0,0,0,2,221,6587,11038
