Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 4 - ANGAMACUTIRO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 38 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,210,69,1,3,,0,,,,,0,,5,0,,,,0,10,323,505
C1,AC,Urna tradicional,42,187,58,0,1,,0,,,,,1,,3,3,,,,0,4,299,506
Total,,,67,397,127,1,4,0,0,0,0,0,0,1,0,8,3,0,0,0,0,14,622,1011
Sección 39 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,183,88,2,0,,0,,,,,4,,3,8,,,,0,8,311,526
C1,AC,Urna tradicional,31,202,74,0,1,,1,,,,,1,,1,4,,,,0,8,323,526
Total,,,46,385,162,2,1,0,1,0,0,0,0,5,0,4,12,0,0,0,0,16,634,1052
Sección 40 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,224,96,3,0,,0,,,,,2,,3,9,,,,0,5,405,643
C1,AC,Urna tradicional,86,177,72,4,1,,1,,,,,2,,2,5,,,,0,7,357,644
Total,,,149,401,168,7,1,0,1,0,0,0,0,4,0,5,14,0,0,0,0,12,762,1287
Sección 41 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,144,91,0,4,,1,,,,,4,,4,6,,,,0,6,294,506
C1,AC,Urna tradicional,34,147,98,1,1,,1,,,,,2,,3,7,,,,0,3,297,506
C2,AC,Urna tradicional,48,114,91,0,0,,2,,,,,4,,2,6,,,,0,6,273,506
Total,,,116,405,280,1,5,0,4,0,0,0,0,10,0,9,19,0,0,0,0,15,864,1518
Sección 42 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,72,118,4,0,,0,,,,,1,,1,6,,,,0,4,258,442
C1,AC,Urna tradicional,32,73,101,1,0,,0,,,,,4,,0,6,,,,0,6,223,442
Total,,,84,145,219,5,0,0,0,0,0,0,0,5,0,1,12,0,0,0,0,10,481,884
Sección 43 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,83,102,7,0,,1,,,,,2,,1,9,,,,1,6,273,613
