Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 91 - TINGAMBATO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1995 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,166,226,4,10,0,,,,,,,,3,,,1,,0,6,443,586
C1,AC,Urna tradicional,18,154,276,2,5,0,,,,,,,,3,,,0,,0,8,466,586
Total,,,45,320,502,6,15,0,0,0,0,0,0,0,0,6,0,0,1,0,0,14,909,1172
Sección 1996 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,23,170,286,2,4,0,,,,,,,,1,,,1,,0,6,493,625
C1,AC,Urna tradicional,17,163,271,1,4,0,,,,,,,,3,,,0,,0,8,467,626
C2,AC,Urna tradicional,20,114,338,1,4,0,,,,,,,,2,,,3,,0,14,496,626
Total,,,60,447,895,4,12,0,0,0,0,0,0,0,0,6,0,0,4,0,0,28,1456,1877
Sección 1997 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,117,241,1,4,1,,,,,,,,2,,,2,,1,12,396,534
C1,AC,Urna tradicional,17,109,258,2,4,0,,,,,,,,4,,,1,,1,12,408,534
C2,AC,Urna tradicional,24,111,256,0,8,2,,,,,,,,4,,,0,,0,12,417,535
Total,,,56,337,755,3,16,3,0,0,0,0,0,0,0,10,0,0,3,0,2,36,1221,1603
Sección 1998 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,154,219,1,17,0,,,,,,,,4,,,1,,0,9,452,564
C1,AC,Urna tradicional,31,156,216,3,11,2,,,,,,,,2,,,0,,0,11,432,565
Total,,,78,310,435,4,28,2,0,0,0,0,0,0,0,6,0,0,1,0,0,20,884,1129
Sección 1999 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,182,171,48,5,2,,,,,,,,0,,,0,,0,23,467,705
C1,AC,Urna tradicional,24,215,167,39,1,0,,,,,,,,1,,,3,,0,20,470,706
Total,,,60,397,338,87,6,2,0,0,0,0,0,0,0,1,0,0,3,0,0,43,937,1411
Sección 2000 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,26,165,150,79,2,2,,,,,,,,2,,,0,,1,16,443,638
C1,AC,Urna tradicional,23,160,149,66,2,2,,,,,,,,4,,,2,,0,19,427,638
C2,AC,Urna tradicional,33,136,154,72,2,0,,,,,,,,4,,,0,,0,28,429,639
Total,,,82,461,453,217,6,4,0,0,0,0,0,0,0,10,0,0,2,0,1,63,1299,1915
Sección 2001 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,75,264,3,1,1,,,,,,,,0,,,0,,0,14,366,531
E1,AC,Urna tradicional,8,74,111,1,2,1,,,,,,,,0,,,1,,0,3,201,268
Total,,,16,149,375,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,17,567,799
Total municipal,,,397,2421,3753,325,86,13,0,0,0,0,0,0,0,39,0,0,15,0,3,221,7273,9906
