Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 20 - CUITZEO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 324 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,224,55,117,0,48,0,0,,,,,0,,,,0,,,0,19,463,747
C1,AC,Urna tradicional,225,36,108,9,48,5,2,,,,,7,,,,4,,,1,25,470,747
C2,AC,Urna tradicional,218,56,103,5,72,1,2,,,,,3,,,,8,,,2,30,500,748
Total,,,667,147,328,14,168,6,4,0,0,0,0,10,0,0,0,12,0,0,3,74,1433,2242
Sección 325 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,36,60,2,37,1,1,,,,,2,,,,3,,,0,14,282,430
C1,AC,Urna tradicional,116,35,43,1,41,1,0,,,,,6,,,,3,,,3,19,268,431
Total,,,242,71,103,3,78,2,1,0,0,0,0,8,0,0,0,6,0,0,3,33,550,861
Sección 326 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,224,42,108,9,36,2,5,,,,,7,,,,7,,,1,22,463,743
C1,AC,Urna tradicional,214,45,85,9,43,4,1,,,,,2,,,,7,,,1,20,431,743
Total,,,438,87,193,18,79,6,6,0,0,0,0,9,0,0,0,14,0,0,2,42,894,1486
Sección 327 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,43,47,2,36,1,0,,,,,6,,,,0,,,1,10,276,469
C1,AC,Urna tradicional,159,33,35,0,44,0,0,,,,,0,,,,0,,,0,14,285,469
Total,,,289,76,82,2,80,1,0,0,0,0,0,6,0,0,0,0,0,0,1,24,561,938
Sección 328 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,184,51,143,2,36,1,3,,,,,8,,,,12,,,0,18,458,742
C1,AC,Urna tradicional,186,56,111,6,46,3,6,,,,,3,,,,5,,,0,17,439,743
Total,,,370,107,254,8,82,4,9,0,0,0,0,11,0,0,0,17,0,0,0,35,897,1485
Sección 329 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,44,62,0,22,1,2,,,,,2,,,,6,,,0,11,306,461
C1,AC,Urna tradicional,133,47,49,1,34,1,1,,,,,2,,,,3,,,0,12,283,462
Total,,,289,91,111,1,56,2,3,0,0,0,0,4,0,0,0,9,0,0,0,23,589,923
Sección 330 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,80,15,40,5,15,0,9,,,,,4,,,,3,,,1,19,191,527
C1,AC,Urna tradicional,96,18,28,3,20,2,18,,,,,2,,,,1,,,0,6,194,527
Total,,,176,33,68,8,35,2,27,0,0,0,0,6,0,0,0,4,0,0,1,25,385,1054
Sección 331 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,30,31,2,24,2,7,,,,,3,,,,1,,,0,12,222,566
C1,AC,Urna tradicional,131,18,35,2,26,2,11,,,,,5,,,,0,,,0,16,246,566
C2,AC,Urna tradicional,115,18,36,5,38,1,11,,,,,2,,,,3,,,0,6,235,566
Total,,,356,66,102,9,88,5,29,0,0,0,0,10,0,0,0,4,0,0,0,34,703,1698
Sección 332 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,26,118,5,4,0,1,,,,,0,,,,5,,,1,7,229,605
C1,AC,Urna tradicional,67,30,86,4,12,1,1,,,,,1,,,,3,,,0,9,214,605
Total,,,129,56,204,9,16,1,2,0,0,0,0,1,0,0,0,8,0,0,1,16,443,1210
Sección 333 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,26,64,2,18,0,2,,,,,0,,,,1,,,0,21,201,507
C1,AC,Urna tradicional,71,20,47,3,28,2,2,,,,,3,,,,0,,,0,11,187,508
C2,AC,Urna tradicional,89,35,74,0,24,0,0,,,,,0,,,,0,,,0,13,235,508
E1,AC,Urna tradicional,76,46,39,5,5,2,0,,,,,4,,,,2,,,0,7,186,535
