Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 3 - ALVARO OBREGON,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 26 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,182,87,4,1,0,0,,,,,0,,2,,,0,,0,12,317,580
C1,AC,Urna tradicional,47,181,85,3,0,0,0,,,,,0,,4,,,2,,0,11,333,580
C2,AC,Urna tradicional,46,182,84,5,2,0,3,,,,,2,,1,,,1,,0,14,340,580
Total,,,122,545,256,12,3,0,3,0,0,0,0,2,0,7,0,0,3,0,0,37,990,1740
Sección 27 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,182,80,8,0,0,0,,,,,0,,2,,,1,,0,11,306,596
C1,AC,Urna tradicional,25,132,137,6,0,0,0,,,,,0,,0,,,0,,0,13,313,597
C2,AC,Urna tradicional,30,173,107,5,2,1,1,,,,,0,,3,,,1,,0,9,332,597
E1,AC,Urna tradicional,21,27,87,2,0,1,0,,,,,1,,0,,,0,,0,3,142,208
Total,,,98,514,411,21,2,2,1,0,0,0,0,1,0,5,0,0,2,0,0,36,1093,1998
Sección 28 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,237,137,5,0,0,0,,,,,0,,0,,,0,,0,13,434,702
C1,AC,Urna tradicional,31,204,170,10,0,0,0,,,,,0,,0,,,0,,0,15,430,702
C2,AC,Urna tradicional,26,204,138,7,1,0,0,,,,,1,,7,,,0,,0,19,403,703
Total,,,99,645,445,22,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,47,1267,2107
Sección 29 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,127,111,4,0,0,1,,,,,2,,1,,,1,,0,14,290,517
C1,AC,Urna tradicional,33,126,96,6,0,0,1,,,,,0,,0,,,1,,0,14,277,517
Total,,,62,253,207,10,0,0,2,0,0,0,0,2,0,1,0,0,2,0,0,28,567,1034
Sección 30 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,150,127,1,1,0,0,,,,,0,,0,,,0,,0,11,301,565
C1,AC,Urna tradicional,19,165,140,3,0,0,0,,,,,0,,0,,,0,,0,11,338,566
Total,,,30,315,267,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,639,1131
Sección 31 ,,,,,,,,,,,,,,,,,,,,,,,,
