Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 44 - JIMENEZ,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 712 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,110,140,14,6,17,1,,,7,,,,,9,,,,0,11,366,700
C1,AC,Urna tradicional,38,120,139,27,12,10,4,,,12,,,,,13,,,,0,8,383,701
Total,,,89,230,279,41,18,27,5,0,0,19,0,0,0,0,22,0,0,0,0,19,749,1401
Sección 713 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,81,88,1,3,6,1,,,5,,,,,7,,,,0,6,229,449
C1,AC,Urna tradicional,34,62,94,5,3,3,0,,,9,,,,,10,,,,0,13,233,450
Total,,,65,143,182,6,6,9,1,0,0,14,0,0,0,0,17,0,0,0,0,19,462,899
Sección 714 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,63,172,4,1,8,0,,,4,,,,,10,,,,0,2,284,557
C1,AC,Urna tradicional,28,80,137,8,3,8,1,,,7,,,,,16,,,,2,6,296,557
C2,AC,Urna tradicional,17,87,148,8,2,5,0,,,7,,,,,9,,,,1,7,291,558
Total,,,65,230,457,20,6,21,1,0,0,18,0,0,0,0,35,0,0,0,3,15,871,1672
Sección 715 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,80,136,2,6,5,0,,,10,,,,,7,,,,0,12,279,575
C1,AC,Urna tradicional,35,83,124,7,6,6,0,,,9,,,,,8,,,,0,14,292,576
Total,,,56,163,260,9,12,11,0,0,0,19,0,0,0,0,15,0,0,0,0,26,571,1151
Sección 716 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,75,150,4,2,3,0,,,7,,,,,21,,,,0,12,332,662
C1,AC,Urna tradicional,57,74,142,4,2,4,2,,,7,,,,,10,,,,1,9,312,662
Total,,,115,149,292,8,4,7,2,0,0,14,0,0,0,0,31,0,0,0,1,21,644,1324
Sección 717 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,54,110,2,3,3,0,,,5,,,,,8,,,,0,14,249,510
C1,AC,Urna tradicional,58,33,148,9,6,6,3,,,3,,,,,11,,,,0,16,293,510
Total,,,108,87,258,11,9,9,3,0,0,8,0,0,0,0,19,0,0,0,0,30,542,1020
Sección 718 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,62,44,4,4,2,2,,,8,,,,,7,,,,0,6,159,406
C1,AC,Urna tradicional,27,76,48,1,2,2,2,,,5,,,,,4,,,,0,10,177,407
Total,,,47,138,92,5,6,4,4,0,0,13,0,0,0,0,11,0,0,0,0,16,336,813
Sección 719 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,89,54,2,0,0,0,,,12,,,,,3,,,,1,6,189,486
C1,AC,Urna tradicional,19,100,45,7,0,1,4,,,6,,,,,5,,,,0,3,190,487
Total,,,41,189,99,9,0,1,4,0,0,18,0,0,0,0,8,0,0,0,1,9,379,973
Sección 720 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,100,81,4,4,12,1,,,5,,,,,5,,,,0,4,229,606
Total,,,13,100,81,4,4,12,1,0,0,5,0,0,0,0,5,0,0,0,0,4,229,606
Sección 721 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,20,99,0,0,1,0,,,3,,,,,6,,,,1,6,146,404
C1,AC,Urna tradicional,4,24,108,2,1,9,0,,,0,,,,,5,,,,0,10,163,405
Total,,,14,44,207,2,1,10,0,0,0,3,0,0,0,0,11,0,0,0,1,16,309,809
Sección 722 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,113,137,4,3,11,0,,,11,,,,,11,,,,0,8,349,682
C1,AC,Urna tradicional,50,166,128,9,7,9,2,,,6,,,,,9,,,,0,9,395,682
Total,,,101,279,265,13,10,20,2,0,0,17,0,0,0,0,20,0,0,0,0,17,744,1364
Sección 723 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,38,76,82,2,7,9,0,,,7,,,,,2,,,,0,6,229,465
C1,AC,Urna tradicional,45,54,104,1,6,7,0,,,8,,,,,8,,,,0,5,238,465
Total,,,83,130,186,3,13,16,0,0,0,15,0,0,0,0,10,0,0,0,0,11,467,930
Sección 724 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,19,55,58,2,3,7,0,,,4,,,,,7,,,,0,8,163,425
Total,,,19,55,58,2,3,7,0,0,0,4,0,0,0,0,7,0,0,0,0,8,163,425
Sección 725 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,63,68,7,2,5,0,,,7,,,,,5,,,,0,8,172,489
Total,,,7,63,68,7,2,5,0,0,0,7,0,0,0,0,5,0,0,0,0,8,172,489
Total municipal,,,823,2000,2784,140,94,159,23,0,0,174,0,0,0,0,216,0,0,0,6,219,6638,13876
