CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,1,B,1,0,B,343,127,1,0,4,2,1,38,5,3,1,0,0,,,,,26,,,551,0,8,559,696,Acta casilla,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,1,C,1,0,C01,336,131,1,1,4,7,2,29,1,1,1,0,0,,,,,20,,,534,0,10,544,696,Grupo de recuento ,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,1,C,2,0,C02,315,122,9,1,8,9,4,48,2,1,0,0,0,,,,,25,,,544,0,9,553,695,Acta casilla,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,2,B,1,0,B,108,68,1,3,4,5,0,25,0,1,0,0,0,,,,,8,,,223,0,5,228,448,Grupo de recuento ,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,2,C,1,0,C01,100,88,5,1,13,4,22,2,0,0,0,0,0,,,,,3,,,238,0,12,250,448,Grupo de recuento ,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,3,B,1,0,B,169,58,4,5,8,6,11,72,8,2,0,0,0,,,,,33,,,376,0,13,389,558,Acta casilla,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,3,C,1,0,C01,178,63,4,6,6,6,8,65,3,1,1,0,0,,,,,29,,,370,1,13,384,558,Acta casilla,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,3,C,2,0,C02,175,50,3,7,16,6,10,88,7,2,0,0,0,,,,,40,,,404,0,11,415,558,Acta casilla,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,4,B,1,0,B,132,81,5,8,13,2,8,134,4,3,1,0,0,,,,,53,,,444,1,16,461,691,Grupo de recuento ,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,001,AGUASCALIENTES,4,C,1,0,C01,162,53,3,8,11,10,19,149,7,1,48,0,0,,,,,0,,,471,0,16,487,690,Acta casilla,,,
