ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,128,13655,13642,2578,5121,717,1112,904,4095,1716,46,43540,1387,44973,75198,0.5981
23,QUINTANA ROO,2,CANCÚN,66,138,4659,6449,2270,7145,1363,903,693,6363,3304,51,33149,1228,34428,81055,0.4247
23,QUINTANA ROO,3,CANCÚN,60,112,3496,4197,2147,6172,515,562,1130,4125,5520,22,27864,1109,28995,61851,0.4688
23,QUINTANA ROO,4,CANCÚN,62,115,3988,5789,2629,8853,496,736,579,4200,2964,29,30234,1184,31447,63626,0.4942
23,QUINTANA ROO,5,CANCÚN,80,145,7931,6361,2959,6798,739,1017,808,5800,2620,84,35033,1582,36699,76928,0.4771
23,QUINTANA ROO,6,CANCÚN,53,114,5508,6308,2457,7461,755,940,820,5363,3045,48,32657,1374,34079,67707,0.5033
23,QUINTANA ROO,7,CANCÚN,53,120,8385,6028,2415,6002,594,1166,970,5653,2791,88,34004,1446,35538,71906,0.4942
23,QUINTANA ROO,8,CANCÚN,48,117,9951,5645,1852,5892,432,2357,694,4049,2025,55,32897,1331,34283,71606,0.4788
23,QUINTANA ROO,9,TULUM,127,204,9392,14637,6658,2547,613,793,955,8760,1443,33,45798,1524,47355,109016,0.4344
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,7911,8073,4426,1287,460,703,643,7407,1340,45,32250,1428,33723,79361,0.4249
23,QUINTANA ROO,11,COZUMEL,22,97,18128,13858,1806,1286,261,533,360,1894,660,16,38786,938,39740,63872,0.6222
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,103,6241,14377,10041,1296,445,198,1339,3003,2654,15,39594,2461,42070,58464,0.7196
23,QUINTANA ROO,13,BACALAR,65,124,6704,14804,6021,1742,4855,424,2477,3445,2187,18,42659,2060,44737,65955,0.6783
23,QUINTANA ROO,14,CHETUMAL,56,120,20691,10920,3614,917,752,657,825,4069,970,24,43415,1154,44593,67894,0.6568
23,QUINTANA ROO,15,CHETUMAL,78,127,20034,9456,3065,1370,657,568,917,4168,2215,24,42450,1357,43831,68858,0.6365
