CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PRD,MC,PCU,ES,MVC,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1406,B,3,72,237,2,252,0,566,10,576,742,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1406_B.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1406,C01,13,51,220,4,243,0,531,7,538,742,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1406_C1.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1406,C02,6,84,182,4,267,0,543,12,555,742,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1406_C2.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1407,B,0,77,104,0,174,1,356,7,363,494,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1407_B.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1407,C01,2,72,138,0,169,0,381,7,388,494,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1407_C1.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1408,B,3,85,128,3,176,0,395,4,399,549,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1408_B.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1408,C01,0,68,177,2,162,0,409,5,414,548,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1408_C1.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1409,B,2,85,134,1,159,0,381,9,390,541,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1409_B.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1409,C01,1,79,149,3,156,0,388,13,401,540,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1409_C1.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1409,C02,2,91,127,2,165,0,387,8,395,540,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1409_C2.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1410,B,1,99,129,1,190,0,420,12,432,564,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1410_B.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1410,C01,2,77,123,3,190,0,395,10,405,563,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1410_C1.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1410,C02,4,89,129,1,201,0,424,7,431,563,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1410_C2.pdf
4,7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,92,TAPILULA,1410,E01,0,25,44,1,24,0,94,1,95,122,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/tapilula/actas/1410_E01.pdf
