ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,ACUITZIO,10,17,152,346,400,1605,156,26,789,224,112,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5077,2,402,5481,8549,http://iem.org.mx/actas_mpio/A4_ACUITZIO.pdf
16,MICHOACAN,2,AGUILILLA,13,22,161,1668,1291,126,,88,,1166,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4846,0,620,5466,12272,http://iem.org.mx/actas_mpio/A4_AGUILILLA.pdf
16,MICHOACAN,3,ÁLVARO OBREGÓN,12,30,0,3607,0,169,1958,0,,234,3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9516,5,897,10418,16440,http://iem.org.mx/actas_mpio/A4_ÁLVARO OBREGÓN.pdf
16,MICHOACAN,4,ANGAMACUTIRO,13,23,196,1935,3872,203,34,115,,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,4,224,8003,12431,http://iem.org.mx/actas_mpio/A4_ANGAMACUTIRO.pdf
16,MICHOACAN,5,ANGANGUEO,6,12,94,716,1000,1633,1187,31,320,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226,0,296,5522,7764,http://iem.org.mx/actas_mpio/A4_ANGANGUEO.pdf
16,MICHOACAN,6,APATZINGÁN,79,165,1929,8938,5866,2845,3652,874,4297,15144,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43930,159,2202,46291,90067,http://iem.org.mx/actas_mpio/A4_APATZINGÁN.pdf
16,MICHOACAN,7,ÁPORO,4,6,310,241,184,311,417,23,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129,0,67,2196,2698,http://iem.org.mx/actas_mpio/A4_ÁPORO.pdf
16,MICHOACAN,8,AQUILA,13,31,704,2378,2730,546,5118,258,,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14083,0,469,14552,18813,http://iem.org.mx/actas_mpio/A4_AQUILA.pdf
16,MICHOACAN,9,ARIO,21,47,6830,1056,633,286,5028,294,,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15162,21,752,15935,26009,http://iem.org.mx/actas_mpio/A4_ARIO.pdf
16,MICHOACAN,10,ARTEAGA,14,36,642,1445,3425,62,326,45,2810,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9697,2,885,10584,16210,http://iem.org.mx/actas_mpio/A4_ARTEAGA.pdf
