CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,B,1,0,B,13,22,13,103,4,0,44,16,2,,,,,0,1,0,0,5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0,24,318,513,Acta casilla,,,http://iem.org.mx/actas/A0001B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,C,1,0,C01,10,21,14,111,12,1,49,9,2,,,,,0,1,0,0,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0,20,310,513,Acta casilla,,,http://iem.org.mx/actas/A0001C01.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,C,2,0,C02,5,25,34,97,10,0,62,16,8,,,,,0,0,0,0,4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0,13,319,512,Acta casilla,,,http://iem.org.mx/actas/A0001C02.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,B,1,0,B,7,24,31,162,14,0,63,20,6,,,,,1,1,0,0,3,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,0,35,470,744,Acta casilla,,,http://iem.org.mx/actas/A0002B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,C,1,0,C01,12,23,53,128,10,2,74,20,7,,,,,0,3,0,0,9,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0,31,475,744,Acta casilla,,,http://iem.org.mx/actas/A0002C01.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,B,1,0,B,9,20,15,85,12,2,64,18,4,,,,,1,0,0,0,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,1,15,310,479,Acta casilla,,,http://iem.org.mx/actas/A0003B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,C,1,0,C01,13,20,21,79,9,0,47,11,8,,,,,0,2,1,0,2,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0,8,298,478,Acta casilla,,,http://iem.org.mx/actas/A0003C01.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,B,1,0,B,8,25,20,102,16,3,40,12,5,,,,,0,0,1,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,0,13,320,488,Acta casilla,,,http://iem.org.mx/actas/A0004B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,C,1,0,C01,5,28,20,107,12,0,44,9,1,,,,,0,0,0,0,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,1,22,311,488,Acta casilla,,,http://iem.org.mx/actas/A0004C01.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,B,1,0,B,11,12,12,117,4,0,63,18,8,,,,,1,4,0,0,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0,23,353,565,Acta casilla,,,http://iem.org.mx/actas/A0005B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,C,1,0,C01,7,22,26,113,7,3,46,17,7,,,,,1,1,0,0,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,0,39,365,564,Acta casilla,,,http://iem.org.mx/actas/A0005C01.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,6,B,1,0,B,9,11,20,49,17,1,17,6,5,,,,,0,0,0,0,0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0,27,300,442,Acta casilla,,,http://iem.org.mx/actas/A0006B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,7,B,1,0,B,9,35,32,86,7,2,37,10,2,,,,,1,1,0,0,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,27,344,586,Acta casilla,,,http://iem.org.mx/actas/A0007B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,8,B,1,0,B,12,10,16,61,5,1,22,8,25,,,,,0,1,0,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,0,26,241,364,Acta casilla,,,http://iem.org.mx/actas/A0008B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,9,B,1,0,B,1,6,14,25,6,0,72,8,3,,,,,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,0,18,173,226,Acta casilla,,,http://iem.org.mx/actas/A0009B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,B,1,0,B,3,22,26,84,5,0,20,6,11,,,,,0,0,0,0,2,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,0,29,289,422,Acta casilla,,,http://iem.org.mx/actas/A0010B.pdf
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,C,1,0,C01,10,20,24,79,6,3,25,3,8,,,,,1,2,0,0,1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,0,32,285,421,Acta casilla,,,http://iem.org.mx/actas/A0010C01.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,11,B,1,0,B,5,97,59,6,,2,,46,,,,,,1,2,0,0,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,0,71,294,711,Acta casilla,,,http://iem.org.mx/actas/A0011B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,11,C,1,0,C01,5,106,88,6,,2,,50,,,,,,0,1,0,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,0,67,327,710,Acta casilla,,,http://iem.org.mx/actas/A0011C01.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,11,C,2,0,C02,7,115,48,2,,3,,45,,,,,,2,3,0,1,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,0,28,305,710,Acta casilla,,,http://iem.org.mx/actas/A0011C02.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,12,B,1,0,B,5,114,78,6,,0,,40,,,,,,4,1,0,2,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,0,50,303,723,Acta casilla,,,http://iem.org.mx/actas/A0012B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,12,C,1,0,C01,6,118,80,8,,7,,44,,,,,,2,4,1,0,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0,52,325,722,Acta casilla,,,http://iem.org.mx/actas/A0012C01.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,13,B,1,0,B,7,117,56,5,,5,,57,,,,,,3,0,0,0,2,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,0,25,304,661,Acta casilla,,,http://iem.org.mx/actas/A0013B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,13,C,1,0,C01,7,91,59,13,,1,,55,,,,,,0,1,0,0,8,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,0,14,276,661,Acta casilla,,,http://iem.org.mx/actas/A0013C01.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,13,C,2,0,C02,3,98,46,8,,1,,62,,,,,,0,1,0,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,0,47,268,661,Acta casilla,,,http://iem.org.mx/actas/A0013C02.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,14,B,1,0,B,6,105,62,5,,2,,29,,,,,,4,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,0,54,269,548,Acta casilla,,,http://iem.org.mx/actas/A0014B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,14,C,1,0,C01,5,106,62,5,,3,,32,,,,,,3,2,0,0,2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0,16,266,548,Acta casilla,,,http://iem.org.mx/actas/A0014C01.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,14,C,2,0,C02,13,94,52,2,,5,,30,,,,,,0,1,1,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,0,55,256,547,Acta casilla,,,http://iem.org.mx/actas/A0014C02.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,15,B,1,0,B,5,91,48,1,,1,,41,,,,,,4,2,0,0,2,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,0,14,227,457,Acta casilla,,,http://iem.org.mx/actas/A0015B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,16,B,1,0,B,4,57,60,4,,4,,106,,,,,,0,1,2,1,0,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,0,15,298,729,Acta casilla,,,http://iem.org.mx/actas/A0016B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,16,C,1,0,C01,7,52,55,9,,2,,130,,,,,,0,0,1,0,0,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,10,310,729,Acta casilla,,,http://iem.org.mx/actas/A0016C01.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,16,C,2,0,C02,11,69,55,9,,1,,104,,,,,,0,2,0,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,0,13,306,728,Acta casilla,,,http://iem.org.mx/actas/A0016C02.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,17,B,1,0,B,3,11,86,2,,10,,83,,,,,,0,1,0,3,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,0,29,230,552,Acta casilla,,,http://iem.org.mx/actas/A0017B.pdf
